似	si shi
作乐	zuo le
溃脓	kui nong
全行业	quan hang ye
臭味相投	chou wei xiang tou
企业重组	qi ye chong zu
那么长	na me chang
乐理	yue li
朝朝暮暮	zhao zhao mu mu
双马尾	shuang ma wei
选重	xuan chong
旧事重提	jiu shi chong ti
每行	mei hang
行内	hang nei
重归	chong gui
秦桧	qin hui
长鞭	chang bian
神经调质	shen jing diao zhi
太行	tai hang
万里长空	wan li chang kong
见见世面	jian jian shi mian
款识	kuan shi
垫圈	dian quan
重头戏	zhong tou xi
也曾	ye ceng
长宽	chang kuan
故伎重演	gu ji chong yan
派人参加	pai ren can jia
天干物燥	tian gan wu zao
编校	bian jiao
取人之长	qu ren zhi chang
提供给	ti gong gei
一路同行	yi lu tong xing
器乐	qi yue
男怕入错行	nan pa ru cuo hang
查下	cha xia
一物降一物	yi wu xiang yi wu
乐手	yue shou
重议	chong yi
喜恶	xi wu
故技重施	gu ji chong shi
长情	chang qing
串行	chuan xing
各行	ge hang
手机壳	shou ji ke
两行	liang hang
长滩	chang tan
见世面	jian shi mian
等长	deng chang
所率	suo shuai
乐评	yue pin
浩浩汤汤	hao hao shang shang
重重	chong chong
汉堡包	han bao bao
地堡	di bao
长轴	chang zhou
可曾	ke ceng
拂过	fu guo
问长问短	wen chang wen duan
仙乐	xian yue
关系上	guan xi shang
呲牙咧嘴	ci ya lie zui
干咳	gan ke
藏服	zang fu
又臭又长	you chou you chang
来朝	lai chao
四重	si chong
长此	chang ci
善长	shan chang
长筒	chang tong
长宽高	chang kuan gao
东北三省	dong bei san sheng
雅鲁藏布	ya lu zang bu
灾后重建	zai hou chong jian
源远流长	yu yuan liu chang
热干面	re gan mian
牛圈	niu juan
去重	qu chong
马尾区	ma wei qu
行行出状元	hang hang chu zhuang yuan
重命名	chong ming ming
下调	xia tiao
行数	hang shu
空行	kong hang
长按	chang an
车行	che hang
长长	chang chang
重选	chong xuan
头发长见识短	tou fa chang jian shi duan
大腹便便	da fu pian pian
曾母暗沙	zeng mu an sha
全须全尾	quan xu quan yi
老调重弹	lao diao chong dan
咔咔嚓嚓	ka ka cha cha
精雕细琢	jing diao xi zhuo
三重一大	san zhong yi da
草率将事	cao shuai jiang shi
一行行	yi hang hang
呀咩咯	ya mie lo
悟空传	wu kong zhuan
牛轧糖	niu ga tang
甲壳虫	jia ke chong
调测费	tiao ce fei
穷折腾	qiong zhe teng
缓冲行	huan chong hang
不粘锅	bu zhan guo
马尾辫	ma wei bian
甄嬛传	zhen huan zhuan
猫妖传	mao yao zhuan
皮草行	pi cao hang
不省心	bu sheng xin
碰头会	peng tou hui
上调	shang tiao
重医	chong yi
进藏	jin zang
降重	jiang chong
灵长	ling zhang
那些	na xie
重犯	zhong fan
了了	liao liao
产仔	chan zai
轧带	zha dai
